carat,cut,color,clarity,depth,table,price,'x','y','z'
0.31,b'Very Good',b'J',b'SI1',58.1,62.0,353.0,4.44,4.47,2.59
0.23,b'Very Good',b'G',b'VVS2',60.4,58.0,354.0,3.97,4.01,2.41
0.24,b'Premium',b'I',b'VS1',62.5,57.0,355.0,3.97,3.94,2.47
0.3,b'Very Good',b'J',b'VS2',62.2,57.0,357.0,4.28,4.3,2.67
0.23,b'Very Good',b'D',b'VS2',60.5,61.0,357.0,3.96,3.97,2.4
0.23,b'Very Good',b'F',b'VS1',60.9,57.0,357.0,3.96,3.99,2.42
0.23,b'Very Good',b'F',b'VS1',60.0,57.0,402.0,4.0,4.03,2.41
0.23,b'Very Good',b'F',b'VS1',59.8,57.0,402.0,4.04,4.06,2.42
0.23,b'Very Good',b'E',b'VS1',60.7,59.0,402.0,3.97,4.01,2.42
0.23,b'Very Good',b'E',b'VS1',59.5,58.0,402.0,4.01,4.06,2.4
0.23,b'Very Good',b'D',b'VS1',61.9,58.0,402.0,3.92,3.96,2.44
0.23,b'Good',b'F',b'VS1',58.2,59.0,402.0,4.06,4.08,2.37
0.23,b'Good',b'E',b'VS1',64.1,59.0,402.0,3.83,3.85,2.46
0.31,b'Good',b'H',b'SI1',64.0,54.0,402.0,4.29,4.31,2.75
0.26,b'Very Good',b'D',b'VS2',60.8,59.0,403.0,4.13,4.16,2.52
0.33,b'Ideal',b'I',b'SI2',61.8,55.0,403.0,4.49,4.51,2.78
0.33,b'Ideal',b'I',b'SI2',61.2,56.0,403.0,4.49,4.5,2.75
0.33,b'Ideal',b'J',b'SI1',61.1,56.0,403.0,4.49,4.55,2.76
0.26,b'Good',b'D',b'VS2',65.2,56.0,403.0,3.99,4.02,2.61
0.26,b'Good',b'D',b'VS1',58.4,63.0,403.0,4.19,4.24,2.46
0.32,b'Good',b'H',b'SI2',63.1,56.0,403.0,4.34,4.37,2.75
0.29,b'Premium',b'F',b'SI1',62.4,58.0,403.0,4.24,4.26,2.65
0.32,b'Very Good',b'H',b'SI2',61.8,55.0,403.0,4.35,4.42,2.71
0.32,b'Good',b'H',b'SI2',63.8,56.0,403.0,4.36,4.38,2.79
0.25,b'Very Good',b'E',b'VS2',63.3,60.0,404.0,4.0,4.03,2.54
0.29,b'Very Good',b'H',b'SI2',60.7,60.0,404.0,4.33,4.37,2.64
0.24,b'Very Good',b'F',b'SI1',60.9,61.0,404.0,4.02,4.03,2.45
0.23,b'Ideal',b'G',b'VS1',61.9,54.0,404.0,3.93,3.95,2.44
0.32,b'Ideal',b'I',b'SI1',60.9,55.0,404.0,4.45,4.48,2.72
0.22,b'Premium',b'E',b'VS2',61.6,58.0,404.0,3.93,3.89,2.41
0.22,b'Premium',b'D',b'VS2',59.3,62.0,404.0,3.91,3.88,2.31
0.3,b'Ideal',b'I',b'SI2',61.0,59.0,405.0,4.3,4.33,2.63
0.3,b'Premium',b'J',b'SI2',59.3,61.0,405.0,4.43,4.38,2.61
0.3,b'Very Good',b'I',b'SI1',62.6,57.0,405.0,4.25,4.28,2.67
0.3,b'Very Good',b'I',b'SI1',63.0,57.0,405.0,4.28,4.32,2.71
0.3,b'Good',b'I',b'SI1',63.2,55.0,405.0,4.25,4.29,2.7
0.35,b'Ideal',b'I',b'VS1',60.9,57.0,552.0,4.54,4.59,2.78
0.3,b'Premium',b'D',b'SI1',62.6,59.0,552.0,4.23,4.27,2.66
0.3,b'Ideal',b'D',b'SI1',62.5,57.0,552.0,4.29,4.32,2.69
0.3,b'Ideal',b'D',b'SI1',62.1,56.0,552.0,4.3,4.33,2.68
0.42,b'Premium',b'I',b'SI2',61.5,59.0,552.0,4.78,4.84,2.96
0.28,b'Ideal',b'G',b'VVS2',61.4,56.0,553.0,4.19,4.22,2.58
0.32,b'Ideal',b'I',b'VVS1',62.0,55.3,553.0,4.39,4.42,2.73
0.31,b'Very Good',b'G',b'SI1',63.3,57.0,553.0,4.33,4.3,2.73
0.31,b'Premium',b'G',b'SI1',61.8,58.0,553.0,4.35,4.32,2.68
0.24,b'Premium',b'E',b'VVS1',60.7,58.0,553.0,4.01,4.03,2.44
0.24,b'Very Good',b'D',b'VVS1',61.5,60.0,553.0,3.97,4.0,2.45
0.3,b'Very Good',b'H',b'SI1',63.1,56.0,554.0,4.29,4.27,2.7
0.3,b'Premium',b'H',b'SI1',62.9,59.0,554.0,4.28,4.24,2.68
0.3,b'Premium',b'H',b'SI1',62.5,57.0,554.0,4.29,4.25,2.67
0.3,b'Good',b'H',b'SI1',63.7,57.0,554.0,4.28,4.26,2.72
0.26,b'Very Good',b'F',b'VVS2',59.2,60.0,554.0,4.19,4.22,2.49
0.26,b'Very Good',b'E',b'VVS2',59.9,58.0,554.0,4.15,4.23,2.51
0.26,b'Very Good',b'D',b'VVS2',62.4,54.0,554.0,4.08,4.13,2.56
0.26,b'Very Good',b'D',b'VVS2',62.8,60.0,554.0,4.01,4.05,2.53
0.26,b'Very Good',b'E',b'VVS1',62.6,59.0,554.0,4.06,4.09,2.55
0.26,b'Very Good',b'E',b'VVS1',63.4,59.0,554.0,4.0,4.04,2.55
0.26,b'Very Good',b'D',b'VVS1',62.1,60.0,554.0,4.03,4.12,2.53
0.26,b'Ideal',b'E',b'VVS2',62.9,58.0,554.0,4.02,4.06,2.54
0.38,b'Ideal',b'I',b'SI2',61.6,56.0,554.0,4.65,4.67,2.87
0.26,b'Good',b'E',b'VVS1',57.9,60.0,554.0,4.22,4.25,2.45
0.24,b'Premium',b'G',b'VVS1',62.3,59.0,554.0,3.95,3.92,2.45
0.24,b'Premium',b'H',b'VVS1',61.2,58.0,554.0,4.01,3.96,2.44
0.24,b'Premium',b'H',b'VVS1',60.8,59.0,554.0,4.02,4.0,2.44
0.24,b'Premium',b'H',b'VVS2',60.7,58.0,554.0,4.07,4.04,2.46
0.32,b'Premium',b'I',b'SI1',62.9,58.0,554.0,4.35,4.33,2.73
0.7,b'Ideal',b'E',b'SI1',62.5,57.0,2757.0,5.7,5.72,3.57
0.86,b'Fair',b'E',b'SI2',55.1,69.0,2757.0,6.45,6.33,3.52
0.7,b'Ideal',b'G',b'VS2',61.6,56.0,2757.0,5.7,5.67,3.5
0.71,b'Very Good',b'E',b'VS2',62.4,57.0,2759.0,5.68,5.73,3.56
0.78,b'Very Good',b'G',b'SI2',63.8,56.0,2759.0,5.81,5.85,3.72
0.7,b'Good',b'E',b'VS2',57.5,58.0,2759.0,5.85,5.9,3.38
0.7,b'Good',b'F',b'VS1',59.4,62.0,2759.0,5.71,5.76,3.4
0.96,b'Fair',b'F',b'SI2',66.3,62.0,2759.0,6.27,5.95,4.07
0.73,b'Very Good',b'E',b'SI1',61.6,59.0,2760.0,5.77,5.78,3.56
0.8,b'Premium',b'H',b'SI1',61.5,58.0,2760.0,5.97,5.93,3.66
0.75,b'Very Good',b'D',b'SI1',63.2,56.0,2760.0,5.8,5.75,3.65
0.75,b'Premium',b'E',b'SI1',59.9,54.0,2760.0,6.0,5.96,3.58
0.74,b'Ideal',b'G',b'SI1',61.6,55.0,2760.0,5.8,5.85,3.59
0.75,b'Premium',b'G',b'VS2',61.7,58.0,2760.0,5.85,5.79,3.59
0.8,b'Ideal',b'I',b'VS1',62.9,56.0,2760.0,5.94,5.87,3.72
0.75,b'Ideal',b'G',b'SI1',62.2,55.0,2760.0,5.87,5.8,3.63
0.8,b'Premium',b'G',b'SI1',63.0,59.0,2760.0,5.9,5.81,3.69
0.74,b'Ideal',b'I',b'VVS2',62.3,55.0,2761.0,5.77,5.81,3.61
0.81,b'Ideal',b'F',b'SI2',58.8,57.0,2761.0,6.14,6.11,3.6
0.59,b'Ideal',b'E',b'VVS2',62.0,55.0,2761.0,5.38,5.43,3.35
0.8,b'Ideal',b'F',b'SI2',61.4,57.0,2761.0,5.96,6.0,3.67
0.74,b'Ideal',b'E',b'SI2',62.2,56.0,2761.0,5.8,5.84,3.62
0.9,b'Premium',b'I',b'VS2',63.0,58.0,2761.0,6.16,6.12,3.87
0.74,b'Very Good',b'G',b'SI1',62.2,59.0,2762.0,5.73,5.82,3.59
0.73,b'Ideal',b'F',b'VS2',62.6,56.0,2762.0,5.77,5.74,3.6
0.73,b'Ideal',b'F',b'VS2',62.7,53.0,2762.0,5.8,5.75,3.62
0.8,b'Premium',b'F',b'SI2',61.7,58.0,2762.0,5.98,5.94,3.68
0.71,b'Ideal',b'G',b'VS2',62.4,54.0,2762.0,5.72,5.76,3.58
0.7,b'Ideal',b'E',b'VS2',60.7,58.0,2762.0,5.73,5.76,3.49
0.8,b'Ideal',b'F',b'SI2',59.9,59.0,2762.0,6.01,6.07,3.62
0.71,b'Ideal',b'D',b'SI2',62.3,56.0,2762.0,5.73,5.69,3.56
0.74,b'Ideal',b'E',b'SI1',62.3,54.0,2762.0,5.8,5.83,3.62
0.7,b'Very Good',b'F',b'VS2',61.7,63.0,2762.0,5.64,5.61,3.47
0.7,b'Fair',b'F',b'VS2',64.5,57.0,2762.0,5.57,5.53,3.58
0.7,b'Fair',b'F',b'VS2',65.3,55.0,2762.0,5.63,5.58,3.66
0.7,b'Premium',b'F',b'VS2',61.6,60.0,2762.0,5.65,5.59,3.46
0.91,b'Premium',b'H',b'SI1',61.4,56.0,2763.0,6.09,5.97,3.7
0.61,b'Very Good',b'D',b'VVS2',59.6,57.0,2763.0,5.56,5.58,3.32
0.91,b'Fair',b'H',b'SI2',64.4,57.0,2763.0,6.11,6.09,3.93
0.91,b'Fair',b'H',b'SI2',65.7,60.0,2763.0,6.03,5.99,3.95
0.77,b'Ideal',b'H',b'VS2',62.0,56.0,2763.0,5.89,5.86,3.64
0.71,b'Very Good',b'D',b'SI1',63.6,58.0,2764.0,5.64,5.68,3.6
0.71,b'Ideal',b'D',b'SI1',61.9,59.0,2764.0,5.69,5.72,3.53
0.7,b'Very Good',b'E',b'VS2',62.6,60.0,2765.0,5.62,5.65,3.53
0.77,b'Very Good',b'H',b'VS1',61.3,60.0,2765.0,5.88,5.9,3.61
0.63,b'Premium',b'E',b'VVS1',60.9,60.0,2765.0,5.52,5.55,3.37
0.71,b'Very Good',b'F',b'VS1',60.1,62.0,2765.0,5.74,5.77,3.46
0.71,b'Premium',b'F',b'VS1',61.8,59.0,2765.0,5.69,5.73,3.53
0.76,b'Ideal',b'H',b'SI1',61.2,57.0,2765.0,5.88,5.91,3.61
0.64,b'Ideal',b'G',b'VVS1',61.9,56.0,2766.0,5.53,5.56,3.43
0.71,b'Premium',b'G',b'VS2',60.9,57.0,2766.0,5.78,5.75,3.51
0.71,b'Premium',b'G',b'VS2',59.8,56.0,2766.0,5.89,5.81,3.5
0.7,b'Very Good',b'D',b'VS2',61.8,55.0,2767.0,5.68,5.72,3.52
0.7,b'Very Good',b'F',b'VS1',60.0,57.0,2767.0,5.8,5.87,3.5
0.71,b'Ideal',b'D',b'SI2',61.6,55.0,2767.0,5.74,5.76,3.54
0.7,b'Good',b'H',b'VVS2',62.1,64.0,2767.0,5.62,5.65,3.5
0.71,b'Very Good',b'G',b'VS1',63.3,59.0,2768.0,5.52,5.61,3.52
0.73,b'Very Good',b'D',b'SI1',60.2,56.0,2768.0,5.83,5.87,3.52
0.7,b'Very Good',b'D',b'SI1',61.1,58.0,2768.0,5.66,5.73,3.48
0.7,b'Ideal',b'E',b'SI1',60.9,57.0,2768.0,5.73,5.76,3.5
0.71,b'Premium',b'D',b'SI2',61.7,59.0,2768.0,5.71,5.67,3.51
0.74,b'Ideal',b'I',b'SI1',61.3,56.0,2769.0,5.82,5.86,3.57
0.71,b'Premium',b'D',b'VS2',62.5,60.0,2770.0,5.65,5.61,3.52
0.73,b'Premium',b'G',b'VS2',61.4,59.0,2770.0,5.83,5.76,3.56
0.76,b'Very Good',b'F',b'SI1',62.9,57.0,2770.0,5.79,5.81,3.65
0.76,b'Ideal',b'D',b'SI2',62.4,57.0,2770.0,5.78,5.83,3.62
0.71,b'Ideal',b'F',b'SI1',60.7,56.0,2770.0,5.77,5.8,3.51
0.73,b'Premium',b'G',b'VS2',60.7,58.0,2770.0,5.87,5.82,3.55
0.73,b'Premium',b'G',b'VS1',61.5,58.0,2770.0,5.79,5.75,3.55
0.73,b'Ideal',b'D',b'SI2',59.9,57.0,2770.0,5.92,5.89,3.54
0.73,b'Premium',b'G',b'VS2',59.2,59.0,2770.0,5.92,5.87,3.49
0.72,b'Very Good',b'H',b'VVS2',60.3,56.0,2771.0,5.81,5.83,3.51
0.73,b'Very Good',b'F',b'SI1',61.7,60.0,2771.0,5.79,5.82,3.58
0.71,b'Ideal',b'G',b'VS2',61.9,57.0,2771.0,5.73,5.77,3.56
0.79,b'Ideal',b'F',b'SI2',61.9,55.0,2771.0,5.97,5.92,3.68
0.73,b'Very Good',b'H',b'VVS1',60.4,59.0,2772.0,5.83,5.89,3.54
0.8,b'Very Good',b'F',b'SI2',61.0,57.0,2772.0,6.01,6.03,3.67
0.58,b'Ideal',b'G',b'VVS1',61.5,55.0,2772.0,5.39,5.44,3.33
0.58,b'Ideal',b'F',b'VVS1',61.7,56.0,2772.0,5.33,5.37,3.3
0.71,b'Good',b'E',b'VS2',59.2,61.0,2772.0,5.8,5.88,3.46
0.75,b'Ideal',b'D',b'SI2',61.3,56.0,2773.0,5.85,5.89,3.6
0.7,b'Premium',b'D',b'VS2',58.0,62.0,2773.0,5.87,5.78,3.38
1.17,b'Very Good',b'J',b'I1',60.2,61.0,2774.0,6.83,6.9,4.13
0.6,b'Ideal',b'E',b'VS1',61.7,55.0,2774.0,5.41,5.44,3.35
0.7,b'Ideal',b'E',b'SI1',62.7,55.0,2774.0,5.68,5.74,3.58
0.83,b'Good',b'I',b'VS2',64.6,54.0,2774.0,5.85,5.88,3.79
0.74,b'Very Good',b'F',b'VS2',61.3,61.0,2775.0,5.8,5.84,3.57
0.72,b'Very Good',b'G',b'VS2',63.7,56.4,2776.0,5.62,5.69,3.61
0.71,b'Premium',b'E',b'VS2',62.7,58.0,2776.0,5.74,5.68,3.58
0.71,b'Ideal',b'E',b'VS2',62.2,57.0,2776.0,5.79,5.62,3.55
0.54,b'Ideal',b'E',b'VVS2',61.6,56.0,2776.0,5.25,5.27,3.24
0.54,b'Ideal',b'E',b'VVS2',61.5,57.0,2776.0,5.24,5.26,3.23
0.72,b'Ideal',b'G',b'SI1',61.8,56.0,2776.0,5.72,5.75,3.55
0.72,b'Ideal',b'G',b'SI1',60.7,56.0,2776.0,5.79,5.82,3.53
0.72,b'Good',b'G',b'VS2',59.7,60.5,2776.0,5.8,5.84,3.47
0.71,b'Ideal',b'G',b'SI1',60.5,56.0,2776.0,5.8,5.76,3.5
0.7,b'Very Good',b'D',b'VS1',62.7,58.0,2777.0,5.66,5.73,3.57
0.71,b'Premium',b'F',b'VS2',62.1,58.0,2777.0,5.67,5.7,3.53
0.71,b'Very Good',b'F',b'VS2',62.8,57.0,2777.0,5.64,5.69,3.56
0.71,b'Good',b'F',b'VS2',63.8,58.0,2777.0,5.61,5.64,3.59
0.71,b'Good',b'F',b'VS2',57.8,60.0,2777.0,5.87,5.9,3.4
0.7,b'Ideal',b'E',b'VS2',62.1,55.0,2777.0,5.7,5.67,3.53
0.7,b'Premium',b'E',b'VS2',61.1,60.0,2777.0,5.71,5.64,3.47
0.7,b'Premium',b'E',b'SI1',60.0,59.0,2777.0,5.79,5.75,3.46
0.7,b'Premium',b'E',b'SI1',61.2,57.0,2777.0,5.73,5.68,3.49
0.7,b'Premium',b'E',b'SI1',62.7,59.0,2777.0,5.67,5.63,3.54
0.7,b'Premium',b'E',b'SI1',61.0,57.0,2777.0,5.73,5.68,3.48
0.7,b'Premium',b'E',b'SI1',61.0,58.0,2777.0,5.78,5.72,3.51
0.7,b'Ideal',b'E',b'SI1',61.4,57.0,2777.0,5.76,5.7,3.52
0.72,b'Premium',b'F',b'SI1',61.8,61.0,2777.0,5.82,5.71,3.56
0.7,b'Very Good',b'E',b'SI1',59.9,63.0,2777.0,5.76,5.7,3.43
0.7,b'Premium',b'E',b'SI1',61.3,58.0,2777.0,5.71,5.68,3.49
0.7,b'Premium',b'E',b'SI1',60.5,58.0,2777.0,5.77,5.74,3.48
0.7,b'Good',b'E',b'VS2',64.1,59.0,2777.0,5.64,5.59,3.6
0.98,b'Fair',b'H',b'SI2',67.9,60.0,2777.0,6.05,5.97,4.08
0.78,b'Premium',b'F',b'SI1',62.4,58.0,2777.0,5.83,5.8,3.63
0.7,b'Very Good',b'E',b'SI1',63.2,60.0,2777.0,5.6,5.51,3.51
0.52,b'Ideal',b'F',b'VVS1',61.3,55.0,2778.0,5.19,5.22,3.19
0.73,b'Very Good',b'H',b'VS2',60.8,56.0,2779.0,5.82,5.84,3.55
0.74,b'Ideal',b'E',b'SI1',61.7,56.0,2779.0,5.84,5.8,3.59
0.7,b'Very Good',b'F',b'VS2',63.6,57.0,2780.0,5.61,5.65,3.58
0.77,b'Premium',b'G',b'VS2',61.2,58.0,2780.0,5.9,5.93,3.62
0.71,b'Ideal',b'F',b'VS2',62.1,54.0,2780.0,5.68,5.72,3.54
0.74,b'Ideal',b'G',b'VS1',61.5,55.0,2780.0,5.81,5.86,3.59
0.7,b'Ideal',b'G',b'VS1',61.4,59.0,2780.0,5.64,5.73,3.49
1.01,b'Premium',b'F',b'I1',61.8,60.0,2781.0,6.39,6.36,3.94
0.77,b'Ideal',b'H',b'SI1',62.2,56.0,2781.0,5.83,5.88,3.64
0.78,b'Ideal',b'H',b'SI1',61.2,56.0,2781.0,5.92,5.99,3.64
0.72,b'Very Good',b'H',b'VS1',60.6,63.0,2782.0,5.83,5.76,3.51
0.53,b'Very Good',b'D',b'VVS2',57.5,64.0,2782.0,5.34,5.37,3.08
0.76,b'Ideal',b'G',b'VS2',61.3,56.0,2782.0,5.9,5.94,3.63
0.7,b'Good',b'E',b'VS1',57.2,62.0,2782.0,5.81,5.77,3.31
0.7,b'Premium',b'E',b'VS1',62.9,60.0,2782.0,5.62,5.54,3.51
0.75,b'Very Good',b'D',b'SI2',63.1,58.0,2782.0,5.78,5.73,3.63
0.72,b'Ideal',b'D',b'SI1',60.8,57.0,2782.0,5.76,5.75,3.5
0.72,b'Premium',b'D',b'SI1',62.7,59.0,2782.0,5.73,5.69,3.58
0.7,b'Premium',b'D',b'SI1',62.8,60.0,2782.0,5.68,5.66,3.56
0.84,b'Fair',b'G',b'SI1',55.1,67.0,2782.0,6.39,6.2,3.47
0.75,b'Premium',b'F',b'SI1',61.4,59.0,2782.0,5.88,5.85,3.6
0.52,b'Ideal',b'F',b'IF',62.2,55.0,2783.0,5.14,5.18,3.21
0.72,b'Very Good',b'F',b'VS2',63.0,54.0,2784.0,5.69,5.73,3.6
0.79,b'Very Good',b'H',b'VS1',63.7,56.0,2784.0,5.85,5.92,3.75
0.72,b'Very Good',b'F',b'VS2',63.6,58.0,2787.0,5.66,5.69,3.61
0.51,b'Ideal',b'F',b'VVS1',62.0,57.0,2787.0,5.11,5.15,3.18
0.64,b'Ideal',b'D',b'VS1',61.5,56.0,2787.0,5.54,5.55,3.41
0.7,b'Very Good',b'H',b'VVS1',60.5,60.0,2788.0,5.74,5.77,3.48
0.83,b'Very Good',b'I',b'VS1',61.1,60.0,2788.0,6.07,6.1,3.72
0.76,b'Ideal',b'I',b'VVS2',61.8,56.0,2788.0,5.85,5.87,3.62
0.71,b'Good',b'D',b'VS2',63.3,56.0,2788.0,5.64,5.68,3.58
0.77,b'Good',b'G',b'VS1',59.4,64.0,2788.0,5.97,5.92,3.53
0.71,b'Ideal',b'F',b'SI1',62.5,55.0,2788.0,5.71,5.65,3.55
1.01,b'Fair',b'E',b'I1',64.5,58.0,2788.0,6.29,6.21,4.03
1.01,b'Premium',b'H',b'SI2',62.7,59.0,2788.0,6.31,6.22,3.93
0.77,b'Good',b'F',b'SI1',64.2,52.0,2789.0,5.81,5.77,3.72
0.76,b'Good',b'E',b'SI1',63.7,54.0,2789.0,5.76,5.85,3.7
0.76,b'Premium',b'E',b'SI1',60.4,58.0,2789.0,5.92,5.94,3.58
0.76,b'Premium',b'E',b'SI1',61.8,58.0,2789.0,5.82,5.86,3.61
1.05,b'Very Good',b'J',b'SI2',63.2,56.0,2789.0,6.49,6.45,4.09
0.81,b'Ideal',b'G',b'SI2',61.6,56.0,2789.0,5.97,6.01,3.69
0.7,b'Ideal',b'E',b'SI1',61.6,56.0,2789.0,5.72,5.75,3.53
0.55,b'Ideal',b'G',b'IF',60.9,57.0,2789.0,5.28,5.3,3.22
0.81,b'Good',b'G',b'SI2',61.0,61.0,2789.0,5.94,5.99,3.64
0.63,b'Premium',b'E',b'VVS2',62.1,57.0,2789.0,5.48,5.41,3.38
0.63,b'Premium',b'E',b'VVS1',60.9,60.0,2789.0,5.55,5.52,3.37
0.77,b'Premium',b'H',b'VS1',61.3,60.0,2789.0,5.9,5.88,3.61
1.05,b'Fair',b'J',b'SI2',65.8,59.0,2789.0,6.41,6.27,4.18
0.64,b'Ideal',b'G',b'IF',61.3,56.0,2790.0,5.54,5.58,3.41
0.76,b'Premium',b'I',b'VVS1',58.8,59.0,2790.0,6.0,5.94,3.51
0.83,b'Ideal',b'F',b'SI2',62.3,55.0,2790.0,6.02,6.05,3.76
0.71,b'Premium',b'F',b'VS1',60.1,62.0,2790.0,5.77,5.74,3.46
0.71,b'Premium',b'F',b'VS1',61.8,59.0,2790.0,5.73,5.69,3.53
0.87,b'Very Good',b'I',b'SI1',63.6,55.8,2791.0,6.07,6.1,3.87
0.73,b'Ideal',b'E',b'SI1',62.2,56.0,2791.0,5.74,5.78,3.58
0.71,b'Premium',b'E',b'SI1',59.2,59.0,2792.0,5.83,5.86,3.46
0.71,b'Premium',b'E',b'SI1',61.8,59.0,2792.0,5.7,5.75,3.54
0.71,b'Ideal',b'E',b'SI1',61.3,55.0,2792.0,5.72,5.77,3.52
0.7,b'Premium',b'F',b'VS1',62.1,60.0,2792.0,5.71,5.65,3.53
0.7,b'Premium',b'F',b'VS1',60.7,60.0,2792.0,5.78,5.75,3.5
0.76,b'Premium',b'H',b'VVS2',59.6,57.0,2792.0,5.91,5.86,3.51
0.7,b'Ideal',b'F',b'VS1',62.2,56.0,2792.0,5.73,5.68,3.55
0.79,b'Very Good',b'G',b'SI1',60.6,57.0,2793.0,5.98,6.06,3.65
0.7,b'Very Good',b'E',b'VS2',62.9,57.0,2793.0,5.66,5.69,3.57
0.7,b'Good',b'E',b'VS2',64.1,55.0,2793.0,5.6,5.66,3.61
0.76,b'Ideal',b'I',b'VS2',61.3,56.0,2793.0,5.87,5.91,3.61
0.73,b'Ideal',b'H',b'VS2',62.7,55.0,2793.0,5.72,5.76,3.6
0.79,b'Very Good',b'E',b'SI1',63.2,56.0,2794.0,5.91,5.86,3.72
0.71,b'Very Good',b'E',b'VS2',60.7,56.0,2795.0,5.81,5.82,3.53
0.81,b'Premium',b'I',b'VVS2',61.9,60.0,2795.0,5.91,5.86,3.64
0.81,b'Ideal',b'F',b'SI2',62.6,55.0,2795.0,5.92,5.96,3.72
0.72,b'Good',b'F',b'VS1',60.7,60.0,2795.0,5.74,5.72,3.48
0.72,b'Premium',b'D',b'SI2',62.0,60.0,2795.0,5.73,5.69,3.54
0.72,b'Premium',b'I',b'IF',63.0,57.0,2795.0,5.72,5.7,3.6
0.81,b'Premium',b'H',b'VS2',58.0,59.0,2795.0,6.17,6.13,3.57
0.72,b'Premium',b'G',b'VS2',62.9,57.0,2795.0,5.73,5.65,3.58
1.0,b'Premium',b'I',b'SI2',58.2,60.0,2795.0,6.61,6.55,3.83
0.73,b'Good',b'E',b'SI1',63.2,58.0,2796.0,5.7,5.76,3.62
0.81,b'Very Good',b'H',b'SI2',61.3,59.0,2797.0,5.94,6.01,3.66
0.81,b'Very Good',b'E',b'SI1',60.3,60.0,2797.0,6.07,6.1,3.67
0.71,b'Premium',b'D',b'SI1',62.7,60.0,2797.0,5.67,5.71,3.57
0.71,b'Premium',b'D',b'SI1',61.3,58.0,2797.0,5.73,5.75,3.52
0.71,b'Premium',b'D',b'SI1',61.6,60.0,2797.0,5.74,5.69,3.52
0.57,b'Ideal',b'F',b'VVS2',61.9,55.0,2797.0,5.34,5.35,3.31
0.51,b'Ideal',b'D',b'VVS1',61.7,56.0,2797.0,5.12,5.16,3.17
0.72,b'Ideal',b'G',b'VS2',61.9,58.0,2797.0,5.72,5.75,3.55
0.74,b'Ideal',b'H',b'VS1',61.8,58.0,2797.0,5.77,5.81,3.58
0.74,b'Ideal',b'H',b'VS1',61.6,56.0,2797.0,5.81,5.82,3.58
0.7,b'Fair',b'G',b'VVS1',58.8,66.0,2797.0,5.81,5.9,3.44
0.8,b'Premium',b'F',b'SI2',61.0,57.0,2797.0,6.03,6.01,3.67
1.01,b'Fair',b'E',b'SI2',67.4,60.0,2797.0,6.19,6.05,4.13
0.8,b'Very Good',b'H',b'VS2',63.4,60.0,2797.0,5.92,5.82,3.72
0.77,b'Ideal',b'I',b'VS1',61.5,59.0,2798.0,5.87,5.91,3.62
0.83,b'Very Good',b'E',b'SI2',58.0,62.0,2799.0,6.19,6.25,3.61
0.82,b'Ideal',b'F',b'SI2',62.4,54.0,2799.0,5.97,6.02,3.74
0.78,b'Ideal',b'D',b'SI1',61.9,57.0,2799.0,5.91,5.86,3.64
0.6,b'Very Good',b'G',b'IF',61.6,56.0,2800.0,5.43,5.46,3.35
0.9,b'Good',b'I',b'SI2',62.2,59.0,2800.0,6.07,6.11,3.79
0.7,b'Premium',b'E',b'VS1',62.2,58.0,2800.0,5.6,5.66,3.5
