ID,Name,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews,Style
662,Trappistes Rochefort 6,Brasserie de Rochefort,Brasserie de Rochefort Trappistes Rochefort 6,Notes:,7.5,15.0,30.0,15.0,50.0,17.0,25.0,114.0,36.0,0.0,83.0,32.0,,82.0,4.074705,4.067497,4.008519,4.121232,4.136959,763.0,2
572,Birra MorettiBirra Moretti (Heineken),Birra Moretti (Heineken),Birra Moretti (Heineken) Birra Moretti,Notes:Also known as Birra Moretti L'Autentica\t,4.6,18.0,25.0,9876.0,13.0,1.0,21.0,21.0,9.0,0.0,,42.0,5.0,44.0,2.76335,3.021845,3.01335,,3.18932,412.0,1
432,Black Fly Stout,Gritty McDuff's Brewing Company,Gritty McDuff's Brewing Company Gritty McDuff's Black Fly Stout,"Notes:There's beer and then there's stout, and Gritty McDuff 's Black Fly Stout is the real deal. Black Fly is a dry, all-malt stout packed with roasted flavor. We use six different grains in the brewing of this dark masterpiece and balance the full palate with Oregon Willamette and Yakima Clusters hops. Like the legendary Irish stouts that inspired it, Black Fly Stout is rich, robust and a touch mysterious. The finest stout west of Galway Bay!16 IBU\t",4.1,30.0,40.0,26.0,89.0,10.0,61.0,28.0,,0.0,3.0,37.0,11.0,,3.726776,4.002732,3.663934,3.838798,3.874317,183.0,5
111,Kwak,Brouwerij Bosteels,Brouwerij Bosteels Pauwel Kwak,Notes:Belgian Specialty Ale\t,8.4,20.0,40.0,12.0,37.0,18.0,6.0,75.0,28.0,0.0,49.0,16.0,28.0,53.0,3.72069,3.84569,3.738793,3.743103,3.69569,580.0,0
176,Pig's Ear Brown Ale,Woodstock Inn Brewery,Woodstock Inn Brewery Pig's Ear Brown Ale,Notes:Medium bodied with a balance of roasted and crystal malts creating a hearty nutty flavor. Medium bitterness with a slightly sweet finish.25 IBU\t,,,25.0,12.0,55.0,12.0,9876.0,66.0,13.0,0.0,10.0,53.0,4.0,130.0,3.517699,3.699115,3.517699,3.60177,3.743363,113.0,4
281,Roggenbier,Beaver Brewing Company,Beaver Brewing Company Roggenator,Notes:,4.6,10.0,20.0,8.0,23.0,7.0,2.0,,,0.0,37.0,4.0,16.0,51.0,4.333333,4.666667,4.666667,4.666667,4.666667,3.0,9
409,Tennent's Lager,Tennent Caledonian Breweries,Tennent Caledonian Breweries Tennent's Lager,"Notes:First produced by Hugh Tennent at Wellpark in 1885, our flagship brand has long been established as Scotland's best-selling pint. Tennent's Lager is brewed to meticulously high standards, using exceptional ingredients and characterised by its clean taste and refreshingly crisp finish - best served ice cold. Having maintained its popularity in the face of changing tastes and fashions, Tennent's Lager has also earned widespread acclaim for its staunch commitment to football and music in Scotland.\t",4.0,18.0,25.0,23.0,25.0,9876.0,26.0,,24.0,0.0,17.0,37.0,,47.0,2.932927,3.329268,3.22561,3.170732,3.417683,164.0,1
389,Pomme (Apple),Brouwerij Lindemans,Brouwerij Lindemans Lindemans Apple,"Notes:Making apple beer goes back to ancestral tradition. The Celts drank it in abundance during their harvest festivals. All we have done is extend the pleasure to the present day by adding the juice of several varieties of apples to our delicious lambic. The tasting experience, which is quite exceptional, combines the sweetness of cider with the sourness characteristic of lambic. The Americans are crazy about it, which is why they say, ""An apple a day keeps the doctor away"".12 IBU\t",,15.0,21.0,14.0,19.0,8.0,6.0,159.0,185.0,3.0,,7.0,2.0,20.0,3.777778,3.682796,3.670251,3.709677,3.65233,,13
311,Pile O' Dirt Porter,Crow Peak Brewing,Crow Peak Brewing Pile O' Dirt Porter,"Notes:This robust porter is black in color, is medium-bodied and has a rich, roasted malt flavor ending with a pleasing hop flavor and mild hop bitterness.\t",6.0,25.0,40.0,16.0,77.0,4.0,87.0,50.0,2.0,0.0,6.0,61.0,18.0,126.0,3.833333,3.907407,3.740741,3.648148,3.722222,27.0,10
361,Whitbread Pale Ale,Whitbread PLC,Whitbread PLC Whitbread Pale Ale,Notes:,9876.0,20.0,40.0,9.0,49.0,8.0,,89.0,35.0,0.0,32.0,48.0,0.0,99.0,3.318182,3.693676,3.389328,3.326087,3.422925,253.0,11
186,Euforia,DuClaw Brewing Company,DuClaw Brewing Company Euphoria,Notes:22 IBU\t,5.0,15.0,25.0,11.0,48.0,8.0,,65.0,5.0,0.0,5.0,29.0,8.0,147.0,3.9375,3.5,3.5625,3.75,3.5,8.0,4
232,Black,Allagash Brewing Company,Allagash Brewing Company Allagash Black,"Notes:Allagash Black is a Belgian style stout brewed with 2 Row barley, torrified wheat, oats, both roasted and chocolate malt and a generous portion of dark caramelized candi sugar. The silky mouth feel is a great balance to the roasted character, coffee and dark chocolate notes expressed throughout this beer.\t",,25.0,50.0,,95.0,18.0,69.0,83.0,17.0,,28.0,35.0,9.0,144.0,3.882,4.094,3.96,4.078,4.047,500.0,7
507,Milk Stout,Lancaster Brewing Company,Lancaster Brewing Company Milk Stout,"Notes:Brewed in Lancaster since 1994, we’re proud to present America’s original craft Milk Stout. Notes of milk chocolate, coffee and roasted malt goodness play counterpoint to a mild sweetness from the addition of milk sugar… You can’t go wrong with award winning Lancaster Milk Stout.\t",5.3,15.0,,6.0,134.0,5.0,51.0,82.0,,0.0,8.0,12.0,5.0,98.0,3.841067,3.908353,3.793503,3.925754,3.922274,431.0,15
285,Matilda,Goose Island Beer Co.,Goose Island Beer Co. Matilda,"Notes:Golden sunrise color, baking spice aroma, fruity biscuity malt flavor, dry body.\t",7.0,20.0,40.0,17.0,23.0,,18.0,59.0,71.0,1.0,63.0,25.0,49.0,47.0,3.944566,3.920966,3.906147,3.974204,3.924808,911.0,0
664,Foster's Lager,Foster's Group Limited,Foster's Group Limited Foster's Lager,Notes:,5.0,8.0,18.0,17.0,30.0,7.0,25.0,24.0,5.0,0.0,4.0,31.0,1.0,38.0,2.47089,2.934075,2.726027,2.614726,2.880993,584.0,6
534,Old Golden Hen,Greene King / Morland Brewery,Greene King / Morland Brewery Old Golden Hen,Notes:,4.1,20.0,35.0,14.0,41.0,6.0,67.0,48.0,44.0,3.0,72.0,85.0,11.0,69.0,3.333333,3.333333,3.666667,3.833333,3.5,3.0,3
398,Experimental Cassis,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Hanssens Experimental Cassis,Notes:Ale brewed with black currants and matured in oak barrels.\t,6.0,15.0,21.0,60.0,35.0,7.0,6.0,9876.0,182.0,9876.0,97.0,5.0,3.0,2.0,3.75,3.613636,3.325758,3.772727,3.598485,66.0,13
640,Georgia Brown,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater Georgia Brown,"Notes:The malt bill gives a subtle nutty & toasty flavors and the chocolate malt provides a rich cocoa flavor with aromas that range from roasted coffee to chocolate-covered dark fruits. The hops used provides excellent bitterness in relation to the chocolate notes of the malt. The flavor and aroma provide clean floral, fruity and herbal notes. A light dose of hops brings balance to all.\t",5.1,15.0,25.0,10.0,66.0,3.0,57.0,80.0,9.0,0.0,12.0,53.0,2.0,138.0,9876.0,3.502577,3.443299,3.528351,3.693299,194.0,4
109,Cobblestone Stout,Mill Street Brew Pub,Mill Street Brew Pub Mill Street Cobblestone Stout,Notes:We produce a traditional styled Irish Stout that is served using beer gas to produce that familiar creamy pore. This is the same system that draft Guinness uses. Our black stout has a roasted malt flavour and a hint of toasted walnuts and chocolate in the finish. Select imported hops are used to dry out the finish of this ale.30 IBU\t,4.2,,40.0,,85.0,6.0,43.0,40.0,7.0,0.0,5.0,21.0,20.0,78.0,3.851852,4.296296,3.962963,3.888889,3.981481,27.0,5
540,Country Pale Ale,Wachusett Brewing Company,Wachusett Brewing Company Wachusett Country Pale Ale,"Notes:Our first brew back in the early 90’s, the original pale ale with perfectly balanced hops & malts creating super drinkability.\t",5.1,,40.0,15.0,49.0,4.0,54.0,57.0,41.0,1.0,47.0,77.0,1.0,80.0,3.329545,3.710227,3.465909,3.494318,3.653409,88.0,11
374,O.K. BeerBrowar Okocim S.A. (Carlsberg),Browar Okocim S.A. (Carlsberg),Browar Okocim S.A. (Carlsberg) O.K. Beer,Notes:,5.6,18.0,25.0,21.0,20.0,8.0,37.0,36.0,10.0,,8.0,62.0,9.0,72.0,3.266272,3.45858,3.502959,3.514793,3.727811,169.0,1
304,Strawberry Lambic,Upland Brewing Company,Upland Brewing Company Strawberry Lambic,Notes:,6.95,15.0,21.0,51.0,32.0,6.0,5.0,65.0,,1.0,145.0,11.0,0.0,13.0,3.782353,3.641176,3.852941,3.847059,3.947059,85.0,13
184,Umami,The Livery,The Livery Umae Umami,Notes:,12.0,45.0,85.0,0.0,9876.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,3.5,4.0,4.5,4.5,1.0,16
582,Evil 8° Belgian-Style Dubbel Ale,Blue Mountain Brewery,Blue Mountain Brewery Evil 8° Belgian-Style Dubbel Ale,Notes:,7.7,15.0,30.0,5.0,54.0,24.0,23.0,136.0,37.0,1.0,70.0,20.0,49.0,,3.782609,4.0,3.836957,3.728261,,46.0,2
643,Brewhouse Brown Ale,Real Ale Brewing Company,Real Ale Brewing Company Brewhouse Brown Ale,Notes:,5.4,15.0,25.0,20.0,72.0,14.0,50.0,78.0,7.0,0.0,9876.0,32.0,7.0,133.0,3.477376,3.656109,3.493213,3.644796,3.708145,221.0,4
481,O'Hara's Irish Stout,Carlow Brewing Company,Carlow Brewing Company O'Hara's Irish Stout,"Notes:The flagship of the O’Hara’s brand, this uniquely Irish stout brings one back to how Irish stouts used to taste. First brewed in 1999, it has since been awarded prestigious honours for its quality and authenticity.O’Hara’s Irish Stout has a robust roast flavour complemented by a full-bodied and smooth mouth feel. The generous addition of Fuggle hops lends a tart bitterness to the dry espresso-like finish. This sessionable stout beer is filled with rich complex coffee aroma mingled with light liquorice notes. The combination of traditional stout hops with an extra pinch of roast barley allows us to stay true to Irish tradition, recreating a taste so often yearned for by stout drinkers.\t",4.3,30.0,40.0,21.0,73.0,6.0,76.0,39.0,,,9.0,43.0,6.0,115.0,3.773148,4.106481,3.783565,3.873843,3.993056,432.0,5
209,Oerbier,Brouwerij De Dolle Brouwers,Brouwerij De Dolle Brouwers De Dolle Oerbier,Notes:,9.0,25.0,50.0,12.0,36.0,47.0,16.0,114.0,47.0,0.0,88.0,21.0,24.0,58.0,4.126884,4.134422,,4.168342,4.036432,398.0,7
387,English Bay Pale Ale,Granville Island Brewery,Granville Island Brewery English Bay Pale Ale,"Notes:Easygoing—like the sunny shores of English Bay itself. Out of the bottle you’ll notice the rich, coppery colour and caramel malt flavour up front, balanced with a dry roasted finish that’s sure to put a smile on your face. Just grill up some burgers, kebabs or tenderloin—and chill\t",5.0,20.0,40.0,,30.0,3.0,35.0,56.0,7.0,0.0,8.0,49.0,6.0,9876.0,3.0,3.410714,3.196429,3.035714,3.294643,56.0,11
201,Nut Brown Ale,Santa Fe Brewing Company,Santa Fe Brewing Company Nut Brown Ale,"Notes:The Brown Ale style originated in the pubs of England, where beer drinkers desired a beer that was both flavorful and complex, but at the same time mild enough to be a session beer. The Santa Fe Brewing Company's interpretation of this style uses a combination of high mash temperature, hard water, and low-alpha acid hops to produce a product that is both true to the style and distinctly Santa Fe. Brewing jargon aside, Santa Fe Nut Brown Ale is an easy-drinking beer, mild, smooth, and always a favorite.\t",5.2,15.0,25.0,23.0,49.0,10.0,35.0,54.0,,1.0,4.0,45.0,2.0,127.0,3.338542,3.635417,3.302083,3.380208,3.489583,96.0,4
237,Nut Brown Ale,AleSmith Brewing Company,AleSmith Brewing Company AleSmith Nautical Nut Brown Ale,"Notes:Formerly known as Nautical Nut Brown Ale.AleSmith Nut Brown is a tribute to one of our favorite British styles. Deep mahogany in color, its rich, malt forward flavor profile balances notes of biscuit, mild cocoa and earthy hops. A creamy mouthfeel and full body enhances its drinkability, making Nut Brown an extremely sessionable, ale that embodies our commitment to quality.\t",5.0,15.0,25.0,23.0,74.0,12.0,33.0,,11.0,2.0,7.0,33.0,4.0,131.0,3.863636,3.993506,3.928571,4.097403,4.149351,77.0,4
658,Oude Kriek,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Oude Kriek,Notes:,6.0,15.0,21.0,30.0,34.0,9.0,0.0,36.0,157.0,0.0,91.0,6.0,5.0,8.0,4.01378,3.905512,3.883858,4.122047,3.923228,254.0,13
255,Persimmon Lambic,Upland Brewing Company,Upland Brewing Company Persimmon Lambic,Notes:,6.95,15.0,21.0,54.0,28.0,5.0,10.0,69.0,233.0,0.0,117.0,4.0,,12.0,4.117647,3.921569,4.068627,4.245098,4.284314,51.0,13
441,K-9 Winter Ale,Flying Dog Brewery,Flying Dog Brewery K-9 Cruiser Winter Ale,Notes:Formerly K-9 Cruiser Winter Ale\t,7.4,35.0,50.0,7.0,52.0,42.0,41.0,63.0,20.0,0.0,33.0,34.0,36.0,77.0,3.280967,3.616314,3.323263,3.287009,,331.0,8
338,Moinette Brune,Brasserie Dupont sprl,Brasserie Dupont sprl Moinette Brune,Notes:,8.5,25.0,50.0,13.0,51.0,25.0,16.0,109.0,45.0,,84.0,22.0,28.0,54.0,3.916667,3.936667,3.813333,3.856667,3.846667,150.0,7
177,Chamberlain Pale Ale,Shipyard Brewing Co.,Shipyard Brewing Co. Chamberlain Pale Ale,Notes:,4.9,20.0,40.0,19.0,29.0,7.0,46.0,41.0,19.0,2.0,17.0,74.0,7.0,,3.385621,3.751634,3.542484,3.591503,3.696078,153.0,11
520,Cherry,Upland Brewing Company,Upland Brewing Company Cherry Lambic,"Notes:A blended work of art. This barrel-aged sour ale combines a traditional Belgian-style sour with whole Montmorency Cherries from Michigan. We ferment our base blonde ale over many months in oak tanks to produce tart flavors, fruity notes and funky character. Then, we select individual batches for fruiting with whole cherries that add intense cherry aromas and dark fruit flavors to the beer. The final blend is bottle conditioned, resulting in a fine carbonation and spritzy mouthfeel.\t",,15.0,21.0,53.0,29.0,6.0,3.0,56.0,173.0,0.0,119.0,7.0,8.0,36.0,3.877049,3.778689,3.819672,3.844262,3.827869,61.0,13
378,People's Porter - Barrel-Aged,Foothills Brewing Company,Foothills Brewing Company Barrel Aged Peoples' Porter,Notes:,6.0,25.0,40.0,19.0,92.0,71.0,,96.0,10.0,1.0,,13.0,30.0,150.0,4.0,4.0,3.828947,3.881579,3.828947,38.0,10
292,Gamma Ray,Terrapin Beer Company,Terrapin Beer Company Terrapin Gamma Ray,"Notes:Gamma Ray is a wheat beer brewed with a massive amount of honey from Savannah Bee Company. This super powered blast from the past will make you believe time travel is possible.IBU: 40OG: 22.6HOPS: Pearle, Mt. HoodMALTS: 2 Row Pale Malt, Munich Wheat, Carapils, Acidulated Malt.AVAILABILITY: July / Side Project\t",10.8,45.0,85.0,11.0,44.0,51.0,,167.0,43.0,0.0,95.0,43.0,29.0,145.0,,3.664265,3.795389,3.817003,3.585014,347.0,16
638,Dunkelroggen,Real Ale Brewing Company,Real Ale Brewing Company Dunkelroggen,Notes:,5.2,10.0,20.0,2.0,9.0,4.0,2.0,,10.0,0.0,12.0,5.0,8.0,23.0,3.571429,3.214286,9876.0,3.571429,3.928571,7.0,9
663,Ipswich Original Pale Ale,Ipswich Ale Brewery,Ipswich Ale Brewery Ipswich Original Ale,Notes:,5.4,20.0,40.0,17.0,57.0,7.0,52.0,51.0,45.0,0.0,40.0,79.0,11.0,98.0,3.770833,3.875,3.908854,3.992188,4.104167,192.0,11
577,Miller High Life,Miller Brewing Co.,Miller Brewing Co. Miller High Life,"Notes:Miller High Life, also known as the Champagne of Beers, is a quintessentially classic, American-style lager. In 1903, Frederick Miller created Miller High Life because he believed that the good life, the High Life, should be accessible to everyone, not just the upper crust. To this day, Miller High Life continues to be faithfully brewed as a golden pilsner, utilizing light-stable galena hops from the Pacific Northwest and a select combination of malted barley.\t",4.6,8.0,18.0,15.0,16.0,5.0,8.0,12.0,3.0,5.0,,14.0,5.0,30.0,2.483173,2.962981,2.864423,,3.3625,1040.0,6
587,Belhaven Best,Belhaven Brewery Company Ltd.,Belhaven Brewery Company Ltd. Belhaven Best,"Notes:The pint of pints. Belhaven Best is the main man of draught ales. Best colour, best flavour, best balance - the pint for all occasions. We Scots are often not known for blowing our own trumpets, modest souls that we are, but we've named this Best for a reason. We're sure you'll agree.\t",3.5,20.0,,7.0,73.0,14.0,33.0,63.0,,2.0,,49.0,4.0,99.0,,3.878788,3.356061,3.204545,3.55303,66.0,3
175,Brown Ale,Saint Arnold Brewing Company,Saint Arnold Brewing Company Saint Arnold Brown Ale,Notes:,5.3,15.0,25.0,11.0,69.0,8.0,36.0,72.0,12.0,0.0,8.0,37.0,6.0,117.0,3.483333,3.45,3.491667,3.566667,3.666667,120.0,4
455,Duvel,Brouwerij Duvel Moortgat NV,Brouwerij Duvel Moortgat NV Duvel,"Notes:A Duvel is still seen as the reference among strong golden ales. Its bouquet is lively and tickles the nose with an element of citrus which even tends towards grapefruit thanks to the use of only the highest-quality hop varieties. This is also reflected in the flavour, which is beautifully balanced with a hint of spiciness. Thanks to its high CO2 content, this beer has a wonderful roundness in the mouth. A Duvel is both the perfect thirst quencher and the ideal aperitif.\t",8.5,,40.0,19.0,31.0,35.0,41.0,,52.0,1.0,61.0,49.0,31.0,27.0,4.151224,4.512857,4.257347,4.329592,4.342245,2450.0,0
344,Colonel Blides Cask Ale,Cricket Hill Brewing Co.,Cricket Hill Brewing Co. Colonel Blides Cask Ale,Notes:5.5% ABV31 IBU'S\t,5.5,20.0,35.0,14.0,56.0,5.0,61.0,43.0,38.0,3.0,41.0,78.0,8.0,82.0,3.545455,3.829545,3.761364,3.715909,3.829545,44.0,3
372,Brown Ale,Legend Brewing Co.,Legend Brewing Co. Brown Ale,"Notes:Our most popular beer, Legend's is a full bodied version of a British Brown Ale. Expect a rich, malt-forward brew with a beautiful mahogany tone. Generous amounts of specialty malts bring flavors of sweet caramel, toasted nuts, coffee, and molasses, all perfectly balanced by a steady but cautious hop dryness. Fruity undertones provided by our house yeast strain bring the final flavor element to round out this world class ale.\t",6.0,15.0,25.0,,34.0,6.0,34.0,42.0,9.0,0.0,5.0,30.0,0.0,,3.734694,3.882653,3.811224,3.897959,3.994898,,4
168,Heinnieweisse Weissebier,Butternuts Beer & Ale,Butternuts Beer & Ale Heinnieweisse Weissebier,Notes:,4.9,10.0,15.0,11.0,23.0,7.0,8.0,19.0,68.0,0.0,72.0,21.0,9876.0,32.0,3.552632,3.5311,3.488038,3.495215,3.667464,209.0,14
537,Cain's Finest Bitter,Robert Cain & Company Limited,Robert Cain & Company Limited Cain's Best Bitter,Notes:,4.0,20.0,35.0,15.0,59.0,7.0,68.0,60.0,17.0,1.0,22.0,91.0,3.0,104.0,3.35,3.666667,3.566667,3.483333,3.533333,30.0,3
163,Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Bitter,Notes:,,20.0,35.0,10.0,91.0,9.0,58.0,62.0,42.0,1.0,41.0,68.0,21.0,75.0,3.416667,3.866667,3.65,3.733333,3.833333,30.0,3
308,Brewer's Brown Ale,Shipyard Brewing Co.,Shipyard Brewing Co. Brewer's Brown Ale,"Notes:Available in 2005-06, and 2009-present.\t",5.4,15.0,25.0,15.0,62.0,10.0,50.0,79.0,20.0,1.0,33.0,45.0,9.0,127.0,3.56087,3.686957,3.530435,3.656522,3.691304,115.0,4
160,Old Sol Wheatwine Ale,Big Time Brewery & Alehouse,Big Time Brewery & Alehouse Old Sol Wheatwine Ale,Notes:,10.0,45.0,85.0,11.0,65.0,,29.0,,59.0,0.0,88.0,36.0,11.0,83.0,4.026316,4.105263,4.052632,4.105263,,19.0,16
115,BelzebuthBrasserie Grain d' Orge (Brasserie Jeanne d'Arc SA),Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA),Brasserie Grain d' Orge (Brasserie Jeanne d'Arc SA) Belzebuth,Notes:,13.0,20.0,,6.0,20.0,67.0,10.0,70.0,28.0,1.0,32.0,14.0,7.0,50.0,3.473498,3.634276,3.482332,3.45583,3.189046,283.0,0
231,Birra Peroni,Birra Peroni Industriale S.p.A.,Birra Peroni Industriale S.p.A. Birra Peroni,Notes:,4.7,8.0,18.0,,24.0,5.0,20.0,14.0,1.0,2.0,3.0,33.0,2.0,41.0,,2.75,2.75,2.5,2.625,4.0,6
579,Southern Pecan,Lazy Magnolia Brewing Company,Lazy Magnolia Brewing Company Southern Pecan,"Notes:Southern Pecan Nut Brown Ale is the first beer in the world, to our knowledge, made with whole roasted pecans. The pecans are used just like grain and provide a nutty characteristic and a delightful depth to the flavor profile. This beer is very lightly hopped to allow the malty, caramel, and nutty flavors shine through. The color is dark mahogany. Southern Pecan won a Bronze Medal in the 2006 World Beer Cup in the Specialty Beer category.19 IBU\t",4.5,15.0,25.0,10.0,42.0,6.0,24.0,69.0,9.0,0.0,15.0,33.0,6.0,149.0,9876.0,3.671795,3.624359,3.832051,3.961538,390.0,4
258,Little Dog,Hair of the Dog Brewing Company / Brewery and Tasting Room,Hair of the Dog Brewing Company / Brewery and Tasting Room Little Dog,"Notes:An experimental beer, moderately hopped and low alcohol. First made from second runnings of Doggie Claws 2010; subsequent releases of Fred or Adam second runnings.\t",3.5,20.0,35.0,9.0,31.0,8.0,44.0,13.0,24.0,3.0,26.0,61.0,9.0,53.0,3.678571,3.607143,3.428571,3.75,3.821429,14.0,3
309,Molson Canadian Lager,Molson Coors Canada,Molson Coors Canada Molson Canadian Lager,"Notes:Around the world, Canada is seen as a shining example of nature at its best. We have thousands of freshwater lakes and barley fields as far as the eye can see. That's what makes us so proud to brew Molson Canadian, our signature beer. Brewed without preservatives, from St. Johns to Vancouver, over 3000 Canadians have a hand in bringing Molson Canadian to their family, their friends, and their communities. The people who live here truly deserve a beer brewed with the best this land has to offer. That’s why we make sure our award winning lager is as clean, crisp and fresh as the incredible country it comes from.\t",5.0,8.0,18.0,31.0,,,7.0,27.0,7.0,4.0,9.0,11.0,2.0,65.0,2.666667,2.976344,2.97957,2.939785,3.289247,465.0,6
188,Winterbraun,Lost Coast Brewery and Cafe,Lost Coast Brewery and Cafe Winterbraun,Notes:,8.0,35.0,50.0,4.0,74.0,35.0,52.0,77.0,17.0,,29.0,37.0,27.0,126.0,3.678218,3.782178,3.762376,3.809406,3.80198,202.0,8
