Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,acidity,calculated_structure_count,intensity,sweetness,tannin,user_structure_count,vintage_type,has_valid_ratings,is_natural
Dard & Ribo,2020,1311758,C'est Le Printemps Crozes-Hermitage 2020,4.0,69,33.0,France,Crozes-Hermitage,3.2018182,57.0,3.8129313,1.64705,3.2079592,6.0,0,True,True
Allesverloren,2015,73610,Shiraz 2015,3.6,842,24.5,South Africa,Swartland,3.3427927,427.0,4.3243923,1.641886,3.1600916,220.0,0,True,False
Maria Reumann,2012,1605583,Phoenix 2012,4.1,48,13.55720469177024,Austria,Mittelburgenland,,,,,,,0,True,False
Contucci,2020,18189,Rosso di Montepulciano 2020,3.6,29,13.0,Italy,Rosso di Montepulciano,3.183551,32.0,2.9626775,1.6031464,3.2020423,70.0,0,True,False
Guttarolo,2019,5317458,Joha 2019,4.1,68,22.0,Italy,Puglia,2.0315254,5.0,4.0220337,2.6489832,2.5957625,2.0,0,True,True
Beyerskloof,2019,1777029,Cabernet Sauvignon - Merlot 2019,3.7,91,9.2,South Africa,Coastal Region,3.4140184,126.0,3.9129052,1.8191745,3.337383,57.0,0,True,False
Castello di Meleto,2016,5420713,Camboi 2016,4.0,67,48.71908604781621,Italy,Toscana,3.0276628,1.0,3.4108667,1.1614705,2.8091798,44.0,0,True,False
Post House,2018,1159305,Blueish Black 2018,4.0,105,12.707761085301511,South Africa,Coastal Region,,,,,,,0,True,False
Tenute Ca' Botta,2019,5956174,Rubicondo 2019,4.1,127,10.58944785221241,Italy,Rosso Veronese,2.1852243,50.0,3.7278748,2.4351904,2.7100933,63.0,0,True,False
Ogier,2021,1129376,Gentilhomme Côtes du Rhône 2021,3.6,45,12.707761085301511,France,Côtes-du-Rhône,3.4873533,110.0,3.8140967,1.5040095,3.2058163,44.0,0,True,False
Ogier,2020,1604768,Châteauneuf-du-Pape 2020,4.0,58,54.86431273700769,France,Châteauneuf-du-Pape,3.1432319,17.0,4.582431,1.4009668,2.8403041,9.0,0,True,False
Casa Santos Lima,2020,3355340,Bonavita Tinto 2020,3.5,68,8.26142160904749,Portugal,Vinho de Portugal,,,,,,,0,True,False
Puklavec Family Wines,2017,5831374,Estate Selection Cabernet Sauvignon - Merlot 2017,3.6,264,9.74212255897677,Slovenia,Podravje,,,,,,,0,True,False
Les Producteurs Réunis,2021,1188689,Les Grands Chemins Carignan Vieilles Vignes Pays d'Hérault 2021,3.6,29,9.318459912358952,France,Hérault,3.463784,86.0,3.5953748,1.9154545,3.2171361,45.0,0,True,False
Marimar Estate,2015,2038688,Don Miguel Vineyard La Masía Pinot Noir 2015,4.0,115,86.21323027349328,United States,Russian River Valley,3.4563468,297.0,3.0861728,1.6929555,2.1197274,156.0,0,True,False
The Original Steak Wine,2017,4411822,Malbec Dry 2017,3.6,210,9.106628589050041,Argentina,Mendoza,2.846535,28.0,3.7912424,1.8566959,2.5230703,40.0,0,True,False
Pas de l'Escalette,2019,2888830,Le Pas de d. Terrasses du Larzac 2019,4.0,28,25.9,France,Terrasses du Larzac,3.6957386,6.0,3.7859936,1.9478779,3.1293716,32.0,0,True,False
Bernard Magrez,2010,1803769,Egregore Blaye - Côtes de Bordeaux  Cuvée d'Exception 2010,3.9,84,29.9,France,Blaye - Côtes de Bordeaux,3.630507,9.0,4.006682,1.4992166,3.852581,10.0,0,True,False
Franco Conterno,2020,1137954,Dolcetto d'Alba Bussia 2020,3.8,25,12.49804807522569,Italy,Dolcetto d'Alba,2.4768867,6.0,3.510519,2.2349057,2.8382077,14.0,0,True,False
Mancura,2018,1194606,Etnia Cabernet Sauvignon 2018,3.4,1188,8.47113461912331,Chile,Central Valley,3.0899198,104.0,3.5576053,2.0302885,3.0585754,641.0,0,True,False
Ventisquero,2019,1383187,Queulat Gran Reserva Merlot 2019,3.5,42,15.673399611626252,Chile,Maipo Valley,2.19725,34.0,3.760654,1.979,2.0856922,27.0,0,True,False
Arnaiz,2014,1149881,Ribera del Duero Reserva 2014,3.8,47,296.3520213091651,Spain,Ribera del Duero,3.5952296,39.0,3.7764237,1.963689,3.5544949,79.0,0,True,False
Rizman,2016,3796966,Brime Plavac Mali 2016,3.6,132,14.0392876,Croatia,Dalmatian Coast,,,,,,,0,True,False
Machiavelli,2016,1215158,Solatìo del Tani Chianti Classico 2016,3.8,237,25.2726136,Italy,Chianti Classico,3.7956474,49.0,3.0844789,1.3693929,3.3875144,46.0,0,True,False
Quercus,2016,1786254,Cabernet - Merlot 2016,3.6,157,19.6512108,Slovenia,Goriška Brda,,,,,,,0,True,False
Vinarija Tonković,2016,2879703,Fantazija Kadarka 2016,3.8,80,14.0392876,,,,,,,,,0,True,False
Vinarija Mili,2015,1626108,Plavac Mali 2015,4.2,200,19.6512108,Croatia,Srednja I Juzna Dalmacija,,,,,,,0,True,False
Kiridzija,2019,1536117,Dingač Plavac Mali 2019,4.2,58,35.1124384,Croatia,Dalmatian Coast,,,,,,,0,True,False
Medea,2019,2396192,Punta Greca 2019,4.3,50,9.8208656,Croatia,Istria (Croatia),,,,,,,0,True,False
Marjan Simčič,2015,1589654,Merlot Opoka 2015,4.4,67,70.2343564,Slovenia,Goriška Brda,,,,,,,0,True,False
Vina Barun,2017,6247930,Marquis Pinot Noir 2017,4.2,53,28.0880548,Croatia,Bregovita Hrvatska,,,,,,,0,True,False
Meneghetti,2016,2600634,Kuća Glavić Syrah 2016,3.6,45,15.4422684,Croatia,Istria (Croatia),,,,,,,0,True,False
Damjanić,2012,1196754,Clemente Red 2012,3.9,37,25.2726136,Croatia,Istria (Croatia),,,,,,,0,True,False
Popov,2017,3094073,Cuvée Prestige 2017,4.1,31,16.8452492,North Macedonia,Tikveš,,,,,,,0,True,False
Benvenuti,2017,2723627,Anno Domini Teran 2017,4.2,131,30.8940164,Croatia,Istria (Croatia),,,,,,,0,True,False
Kabola,2019,1181881,Teran 2019,3.8,30,25.2726136,Croatia,Istria (Croatia),,,,,,,0,True,False
Kabola,2017,2524831,Merlot 2017,3.8,29,25.2726136,Croatia,Istria (Croatia),,,,,,,0,True,False
Tomac,2018,1470396,Crni Pinot 2018,4.0,33,28.0880548,Croatia,Plesivica,,,,,,,0,True,False
Bovin,2018,1446144,Imperator 2018,4.4,356,56.1855892,North Macedonia,Tikveš,,,,,,,0,True,False
Stina,2018,4920918,Tribidrag 2018,4.3,58,41.71024,Croatia,Srednja I Juzna Dalmacija,,,,,,,0,True,False
Kamnik,2018,2267344,Terroir Grand Reserva Vranec 2018,4.4,50,98.3318908,North Macedonia,Skopje,,,,,,,0,True,False
Dubokovic,2016,1277647,2718 Sati Sunca U Boci 2016,3.9,38,18.24823,Croatia,Srednja I Juzna Dalmacija,,,,,,,0,True,False
Vina Laguna,2019,2456148,Merlot 2019,3.2,61,7.014904,Croatia,Istria (Croatia),,,,,,,0,True,False
Kamnik,2019,2037637,Ten Barrels Reserva Syrah 2019,4.6,259,56.1855892,North Macedonia,Skopje,,,,,,,0,True,False
Boškinac,2017,1309289,Cuvée Red 2017,4.1,68,56.1855892,Croatia,Dalmatian Coast,,,,,,,0,True,False
Medea,2020,5014172,Cabernet Sauvignon 2020,3.8,25,9.8208656,Croatia,Istria (Croatia),,,,,,,0,True,False
Medea,2019,4898060,Teran 2019,3.4,28,9.8208656,Croatia,Istria (Croatia),,,,,,,0,True,False
Carlo Rossi,2015,1124788,Cabernet Sauvignon 2015,3.6,57,15.4422684,United States,California,3.055227,51.0,4.533921,2.0462217,3.4194887,17.0,0,True,False
Feravino,2018,1461857,Miraz Frankovka 2018,3.9,49,16.11532,Croatia,Slavonija,,,,,,,0,True,False
Bibich,2018,1233174,R6 Riserva 2018,3.8,135,18.24823,Croatia,Dalmatian Coast,,,,,,,0,True,False
Kosovec,2017,2372359,Frankovka 2017,3.8,47,16.8452492,Croatia,Continental Region,,,,,,,0,True,False
Krajancic,2017,2491898,Plavac Mali 2017,4.0,40,19.6512108,Croatia,Dalmatian Coast,,,,,,,0,True,False
Vinarija Vuina,2015,4253547,Crljenak Štafileo 2015,4.1,91,26.6755944,Croatia,Dalmatian Coast,,,,,,,0,True,False
Hvar Hills,2016,6353200,Maior Rizerva Plavac Mali 2016,4.0,127,16.8452492,Croatia,Dalmatian Coast,,,,,,,0,True,False
Edivo Vina,2013,5850692,Navis Mysterium 2013,4.2,27,141.24604,Croatia,Dingač,,,,,,,0,True,False
Richland,2013,1543940,Shiraz 2013,3.0,30,8.666666666666666,Australia,Riverina,3.0620387,45.0,4.5778017,2.1736789,3.1488495,46.0,0,True,False
El Escocés Volante,2017,1204529,La Multa Old Vine Monastrell 2017,3.4,25,7.833333333333333,Spain,Bullas,3.15194,9.0,3.5208955,1.1947762,3.9311943,0.0,0,True,False
Château Saint-Roch,2019,2595512,Vieilles Vignes Côtes  du Roussillon Rouge 2019,3.7,30,7.95,France,Côtes du Roussillon Villages,3.732652,66.0,3.850884,1.7274646,3.5018814,39.0,0,True,False
Gianni Masciarelli,2015,4105979,Montepulciano d'Abruzzo 2015,3.6,760,47.0,Italy,Montepulciano d'Abruzzo,3.7998898,108.0,2.7820222,1.5165589,3.1090734,59.0,0,True,False
Yves Cuilleron,2019,97908,Syrah Les Candives 2019,3.9,85,11.166666666666666,France,Collines Rhodaniennes,,,,,,,0,True,False
Domaine Boudau,2016,1291936,Patrimoine Côtes du Roussillon Villages 2016,3.9,34,16.833333333333332,France,Côtes du Roussillon Villages,3.6895049,5.0,3.7806435,1.7005942,3.4909406,9.0,0,True,False
Château Moyau,2012,2152822,Sauvage 2012,3.8,61,11.9,France,La Clape,3.8212264,11.0,4.0864387,1.772288,3.8207548,20.0,0,True,False
Leda,2005,1164218,Viñas Viejas Tempranillo 2005,4.1,59,36.9,Spain,Castilla y León,2.8048503,102.0,4.338416,1.7029253,3.6526358,70.0,0,True,False
Bodegas Bhilar,2014,1194290,Phincas 2014,3.9,201,89.0,Spain,Rioja,3.8319337,60.0,3.8294647,1.5225505,3.7744515,101.0,0,True,False
Hansruedi Adank,2020,3948649,Fläscher Pinot Noir Alte Reben 2020,4.0,40,39.9,Switzerland,Graubünden,4.0861926,21.0,1.4359477,1.5409968,2.435719,22.0,0,True,False
Destiny Bay Vineyards,2010,2938880,Destinae 2010,4.3,72,136.87094340364516,New Zealand,Waiheke Island,3.5093694,66.0,3.8944805,1.9705637,2.8677745,30.0,0,True,False
Stonyridge Vineyard,2014,1631901,Larose Red Blend 2014,4.4,240,267.9117670478414,New Zealand,Waiheke Island,3.816893,277.0,3.9689796,1.6084188,3.6450074,53.0,0,True,False
Stonyridge Vineyard,2018,1631901,Larose Red Blend 2018,4.3,56,262.08747158385654,New Zealand,Waiheke Island,3.816893,277.0,3.9689796,1.6084188,3.6450074,53.0,0,True,False
Stonecroft,2016,3375113,Ruhanui Merlot - Cabernet Sauvignon 2016,3.9,26,18.049491642889205,New Zealand,Gimblett Gravels,3.7324054,22.0,3.8859797,1.3924398,3.535361,6.0,0,True,False
Te Motu,2014,2106106,Kokoro 2014,4.2,95,49.500687148407664,New Zealand,Waiheke Island,3.7205756,75.0,3.9109693,1.7359022,3.567639,15.0,0,True,False
Koyama,2017,1706991,William's Vineyard Pinot Noir 2017,4.0,36,37.852096220437865,New Zealand,Waipara,3.6175296,21.0,2.2261753,1.6424304,2.1845417,21.0,0,True,False
Esk Valley,2016,2776230,Syrah 2016,3.3,39,34.93994848844542,New Zealand,Hawke's Bay,3.409255,66.0,3.9028096,1.4671601,3.3284998,17.0,0,True,False
Jean Stodden,2017,63674,Recher Herrenberg Spätburgunder 2017,4.0,30,75.0,Germany,Ahr,4.2319136,58.0,1.6985722,1.5895681,2.2817996,53.0,0,True,False
Yves Cuilleron,2012,2657263,Cornas Le Village 2012,4.1,59,29.8,France,Cornas,3.5851154,42.0,4.4308167,1.7773652,3.1837442,4.0,0,True,False
Dante Robino,2017,1158397,Malbec 2017,3.4,693,9.5,Argentina,Mendoza,2.6209743,119.0,3.5790355,2.0922937,2.4812255,404.0,0,True,False
Yves Cuilleron,2014,1799850,Saint-Joseph Les Pierres Sèches 2014,3.9,362,17.9,France,Saint-Joseph,3.5474455,165.0,4.32917,1.5257131,3.4251168,51.0,0,True,False
Terres Dorées,2017,5199584,Morgon Côte du Py - Javernières 2017,3.8,317,19.88888888888889,France,Morgon,4.450805,80.0,1.8501834,1.6242049,2.3352191,75.0,0,True,True
Aldonia,2019,1620419,Vendimia 2019,3.7,62,7.791666666666667,Spain,Rioja,3.6359622,53.0,3.8097372,1.7996244,3.8747413,55.0,0,True,False
Cinciole,2013,1209647,Aluigi Riserva Chianti Classico 2013,3.7,113,22.833333333333332,Italy,Chianti Classico,3.8746605,19.0,3.3602035,1.4330206,3.7245588,42.0,0,True,True
Mas Oller,2013,1681959,Plus 2013,3.7,105,14.9,Spain,Catalunya,3.3056664,21.0,4.288034,1.4205,3.2721336,24.0,0,True,False
Terenzi,2015,2307283,Purosangue Morellino di Scansano Sangiovese Riserva 2015,3.9,323,16.5,Italy,Morellino di Scansano,3.2101479,53.0,3.2251353,1.6658343,3.0371091,204.0,0,True,False
Château Lauduc,2016,1754377,Bordeaux 2016,3.7,219,18.95,France,Bordeaux,3.6141665,14.0,3.7245705,1.6405051,3.4658506,23.0,0,True,False
Chichateau,2019,5813099,Fabula Mala 2019,4.1,97,19.6512108,Serbia,Srem,,,,,,,0,True,False
Contini,2014,2400990,Barrile 2014,4.3,147,32.85,Italy,Isola dei Nuraghi,2.3182483,16.0,4.5835605,2.3838444,3.0331917,85.0,0,True,False
Meloni,2013,1183928,Le Sabbie Cannonau di Sardegna 2013,3.8,132,15.95,Italy,Cannonau di Sardegna,2.8769863,2.0,4.0535617,1.4910959,3.137123,4.0,0,True,False
Siddura,2016,1913180,Èrema 2016,3.8,278,16.5,Italy,Cannonau di Sardegna,2.7357895,26.0,4.108653,2.2118962,3.0550773,85.0,0,True,False
Ferruccio Deiana,2015,1221941,Sìleno Cannonau di Sardegna 2015,3.7,42,9.95,Italy,Cannonau di Sardegna,3.1279998,11.0,3.7807498,1.6384375,2.857125,8.0,0,True,False
Man O' War,2013,1125551,Ironclad 2013,4.3,157,63.478996261971425,New Zealand,Waiheke Island,3.7990167,303.0,4.0431466,1.5747613,3.6135113,70.0,0,True,False
Cantina del Mandrolisai,2015,1208513,Rosso Superiore 2015,3.7,68,13.95,Italy,Sardegna Mandrolisai,2.5376403,6.0,4.431605,2.0898395,3.0192134,35.0,0,True,False
Mudbrick Vineyard,2019,1697417,Reserve Pinot Noir 2019,4.0,32,41.92910304522729,New Zealand,Central Otago,3.984251,29.0,2.2058582,1.445395,2.3643868,8.0,0,True,False
Giampietro Puggioni,2019,1179486,Mamuthone Cannonau di Sardegna 2019,4.0,202,17.95,Italy,Cannonau di Sardegna,3.2390332,34.0,4.079955,1.555438,2.939426,28.0,0,True,False
Grifone,2021,1207589,Primitivo 2021,3.6,92,9.106628589050041,Italy,Puglia,1.9879626,783.0,3.8545709,2.7781498,2.2493684,237.0,0,True,False
Weinert,2002,2470,Cavas de Weinert Gran Vino 2002,4.1,169,18.85298777449299,Argentina,Lujan de Cuyo,3.6467907,94.0,4.4481983,1.841172,3.432267,56.0,0,True,False
Grifone,2021,1207589,Primitivo 2021,3.6,92,9.106628589050041,Italy,Puglia,1.9879626,783.0,3.8545709,2.7781498,2.2493684,237.0,0,True,False
Clai,2015,1541331,Brombonero Refošk 2015,4.5,107,63.2099728,Croatia,Istria (Croatia),,,,,,,0,True,True
Hartenberg,2017,10196,The Stork 2017,4.6,47,60.0,South Africa,Stellenbosch,3.369724,201.0,4.2531166,1.948536,3.0811405,101.0,0,True,False
Brampton,2018,20931,Cabernet Sauvignon 2018,3.5,91,11.95,South Africa,Stellenbosch,3.7092829,105.0,4.280435,1.7626182,3.930831,41.0,0,True,False
HPF1855 - Hermanuspietersfontein,2020,1430316,Posmeester 2020,4.0,266,11.95,South Africa,Western Cape,3.5467455,217.0,3.7470284,1.7598138,3.048209,159.0,0,True,False
The Drift,2017,3486655,Gift Horse Barbera 2017,4.3,89,64.59,South Africa,Western Cape,,,,,,,0,True,False
La Bri,2016,1277566,Affinity 2016,3.9,88,18.95,South Africa,Franschhoek,3.7730317,103.0,3.9367957,1.9367585,3.5884793,88.0,0,True,False
Garden Route,2017,1107199,Pinot Noir 2017,3.6,26,14.95,South Africa,Outeniqua,3.5,9.0,2.7570086,1.1673504,2.0239315,4.0,0,True,False
Croydon,2018,6074867,Covenant Cabernet Sauvignon 2018,3.9,53,19.95,South Africa,Western Cape,3.3996174,9.0,3.9856122,1.9962245,3.3770154,18.0,0,True,False
Donkiesbaai,2018,2442423,Pinot Noir 2018,4.3,33,32.0,South Africa,Stellenbosch,3.3816044,32.0,2.8753169,1.674832,2.0151305,17.0,0,True,False
Rudi Schultz,2018,7363138,Dungeons Cabernet Sauvignon 2018,4.1,47,27.8,South Africa,Stellenbosch,3.4765234,18.0,4.2421875,2.0024219,3.4646485,27.0,0,True,False
Clos Malverne,2016,7753962,Reserve Cabernet Sauvignon 2016,3.8,41,18.95,South Africa,Stellenbosch,3.528849,8.0,4.383669,1.5197842,3.543525,12.0,0,True,False
Rijk's,2019,2309549,Touch of Oak Pinotage 2019,4.1,292,16.95,South Africa,Tulbagh,2.8439014,320.0,3.8839378,1.751225,2.8230698,146.0,0,True,False
Rijk's,2012,2230960,Reserve Shiraz 2012,4.3,52,39.95,South Africa,Tulbagh,3.2608879,31.0,4.3429484,1.7034672,2.8850923,11.0,0,True,False
Stellenrust,2019,1155093,Shiraz 2019,3.6,37,11.95,South Africa,Stellenbosch,3.3079998,46.0,4.2868958,1.8421081,3.3216445,53.0,0,True,False
Haskell,2016,1602529,Pillars 2016,4.2,32,37.95,South Africa,Stellenbosch,3.3652353,85.0,4.288792,1.89843,3.092862,36.0,0,True,False
Cartuxa,2019,76429,Scala Coeli Tinto 2019,4.5,33,89.85,Portugal,Alentejo,2.8800983,58.0,4.2980747,1.8769095,3.1498375,478.0,0,True,False
Terra d'Alter,2016,4398985,Morde Tinto Cão Alentejano 2016,4.3,76,26.95,Portugal,Alentejano,3.2932897,15.0,4.012761,1.5979178,3.3497586,92.0,0,True,False
Waterkloof,2018,1964997,Circumstance Seriously Cool Cinsault 2018,3.7,297,15.95,South Africa,Stellenbosch,,,,,,,0,True,False
Painted Wolf,2019,5563192,The Den Shiraz 2019,3.6,41,11.45,South Africa,Swartland,3.4179091,22.0,4.3249116,1.5259193,3.091486,14.0,0,True,False
Sijnn,2016,2272696,Red Blend 2016,4.2,151,43.95,South Africa,Swellendam,,,,,,,0,True,False
Delaire Graff,2018,6768274,Banghoek Reserve Merlot 2018,4.2,146,34.95,South Africa,Stellenbosch,2.9555993,59.0,3.8776035,1.967752,2.9259174,22.0,0,True,False
Asara Wine Estate,2015,1186514,The Bell Tower 2015,4.4,86,29.95,South Africa,Stellenbosch,3.6606305,102.0,3.9404373,1.4786936,3.4827926,60.0,0,True,False
Brampton,2018,20943,Old Vine Red (OVR) 2018,3.4,46,11.95,South Africa,Stellenbosch,,,,,,,0,True,False
Bosman Family Vineyards,2021,6408188,Generation 8 Merlot 2021,3.7,67,10.95,South Africa,Wellington,2.837355,47.0,3.4622383,2.2115843,2.6535466,35.0,0,True,False
Brampton,2018,20931,Cabernet Sauvignon 2018,3.5,91,11.95,South Africa,Stellenbosch,3.7092829,105.0,4.280435,1.7626182,3.930831,41.0,0,True,False
HPF1855 - Hermanuspietersfontein,2020,1430316,Posmeester 2020,4.0,266,11.95,South Africa,Western Cape,3.5467455,217.0,3.7470284,1.7598138,3.048209,159.0,0,True,False
Ernie Els,2018,8812042,Major Series Merlot 2018,3.8,69,22.9,South Africa,Stellenbosch,3.0005329,38.0,3.865313,1.9186819,3.0088415,21.0,0,True,False
Schloss Gobelsburg,2016,20134,Zweigelt Domaene Gobelsburg 2016,3.6,79,8.0,Austria,Niederösterreich,3.778743,84.0,2.9317715,1.3129333,3.2309806,23.0,0,True,False
Anwilka Vineyard,2012,1541969,Petit Frère Red Blend 2012,3.5,198,15.0,South Africa,Stellenbosch,,,,,,,0,True,False
Tenuta Sette Ponti,2014,19226,Vigna di Pallino Chianti 2014,3.4,216,12.8,Italy,Chianti,3.8265538,82.0,3.070409,1.588426,3.709348,57.0,0,True,False
Man O' War,2011,1125553,Dreadnought 2011,4.2,208,78.62216446833216,New Zealand,Waiheke Island,3.4414887,272.0,3.9637268,1.5329072,3.535611,47.0,0,True,False
Man O' War,2009,1125553,Dreadnought 2009,4.2,84,90.85318494270045,New Zealand,Waiheke Island,3.4414887,272.0,3.9637268,1.5329072,3.535611,47.0,0,True,False
Man O' War,2012,1125553,Dreadnought 2012,4.2,210,73.96272809714425,New Zealand,Waiheke Island,3.4414887,272.0,3.9637268,1.5329072,3.535611,47.0,0,True,False
Providence,2014,3889103,Private Reserve 2014,4.2,38,125.21652818021137,New Zealand,Matakana,4.043557,30.0,3.78125,1.6883894,3.4992068,5.0,0,True,False
Herdade da Calada,2017,1558417,Baron de B Reserva Tinto 2017,4.2,143,22.95,Portugal,Alentejo,2.9218354,19.0,4.2037177,1.8356158,3.0040019,61.0,0,True,False
Felton Road,2014,88319,Calvert Pinot Noir 2014,4.1,143,119.39223271622646,New Zealand,Central Otago,3.74,190.0,2.2729995,1.701774,2.2214668,87.0,0,True,False
Finca Sandoval,2013,1126959,Salia 2013,4.0,228,13.5,Spain,Manchuela,3.2287374,67.0,3.8434618,1.8872414,3.0736542,111.0,0,True,False
Lemberg,2020,2495969,Pinot Noir 2020,3.8,29,15.95,South Africa,Tulbagh,3.4062629,21.0,3.4407008,1.4185563,2.3191295,19.0,0,True,False
Il Borghetto,2009,1499928,Clante 2009,4.3,34,100.0,Italy,Toscana,3.5148623,6.0,3.1853213,1.4873394,3.1291745,2.0,0,True,True
Diego Morra,2016,4706814,Barolo Monvigliero 2016,4.1,80,49.7,Italy,Barolo,4.398261,23.0,3.5627563,1.5788269,4.2689495,55.0,0,True,False
Cave du Château des Loges,2020,1209508,Brouilly 2020,3.8,221,8.45,France,Brouilly,4.558595,48.0,1.3651603,1.3884121,1.7782595,38.0,0,True,False
Landskroon,2018,1268115,Reserve Paul de Villiers 2018,3.9,31,17.95,South Africa,Paarl,3.5670025,34.0,3.7834601,1.41921,3.420341,32.0,0,True,False
Opaco,2017,2444744,Tinto 2017,4.0,85,24.99609615045138,Portugal,Lisboa,3.019533,47.0,4.188983,1.849409,3.2509162,88.0,0,True,False
